gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
PTPRS,ENSG00000105426.16,45.04525272,1.044543256,24.53867983,0.509524666
CTC-482H14.5,ENSG00000267550.1,0.07113159,0.006685303,0,0
RPL32P34,ENSG00000239524.2,0.338461438,0.017036398,0.163299527,0.01125276
LLNLR-304G9.1,ENSG00000274447.1,0.355828758,0.015396473,0,0
ZNRF4,ENSG00000105428.5,0.167934858,0.059751781,0.00784517,0.002632295
TINCR,ENSG00000223573.6,2.083676035,0.129348937,16.12530956,0.758507272
SNRPEP4,ENSG00000233270.1,3.12713268,0.071138642,4.146617424,0.092998216
SAFB2,ENSG00000130254.11,41.63664488,0.650240388,30.35026335,0.308299333
SAFB,ENSG00000160633.12,83.54522876,1.045440485,50.91667339,0.476867003
RPL36,ENSG00000130255.12,652.345098,12.863321,607.8180423,12.35414065
C19orf70,ENSG00000174917.8,63.95928105,0.789381409,0,0
HSD11B1L,ENSG00000167733.13,6.055568627,0.149054068,7.43716572,0.181201698
LONP1,ENSG00000196365.11,42.00854031,0.503137545,64.76699413,0.925138744
CATSPERD,ENSG00000174898.15,0.088144009,0.008313185,0.078742708,0.008051262
PRR22,ENSG00000212123.3,5.419288453,0.17082031,3.625452557,0.111890373
DUS3L,ENSG00000141994.15,27.68557734,0.437598275,13.80413939,0.248374748
NRTN,ENSG00000171119.2,1.847223747,0.096515008,4.781076799,0.316306629
FUT6,ENSG00000156413.13,0.699578431,0.088661265,1.882801799,0.193555071
FUT3,ENSG00000171124.12,1.289120479,0.178409513,6.197344602,0.382335736
AC024592.9,ENSG00000267709.1,0.035880828,0.004301028,0,0
FUT5,ENSG00000130383.7,0.064003268,0.004972443,0.02257197,0.002518356
NDUFA11,ENSG00000174886.12,39.52102397,0.5372235,5.066870076,0.121138959
AC104532.3,ENSG00000266941.1,0.039924183,0.004392267,0,0
VMAC,ENSG00000187650.3,11.35472854,0.240238553,12.67699602,0.180966404
AC104532.4,ENSG00000267571.1,3.129521133,0.091161361,0,0
CAPS,ENSG00000105519.15,18.39205664,0.412321675,48.11698229,2.200865694
RANBP3,ENSG00000031823.14,34.57808279,0.376430086,30.70390578,0.304504203
CTC-232P5.1,ENSG00000266983.1,0.443283007,0.017443599,0,0
RFX2,ENSG00000087903.12,7.315882571,0.220867436,3.638234659,0.074185881
CTC-232P5.3,ENSG00000267262.1,0.101474074,0.010376096,0,0
CTC-232P5.4,ENSG00000267589.1,0.216369499,0.014985782,0,0
CTB-66B24.1,ENSG00000267299.1,0.612725054,0.031843372,0,0
ACSBG2,ENSG00000130377.13,0.47903159,0.069153628,0.281318087,0.010887263
CTC-503J8.9,ENSG00000284490.1,0.014198693,0.002808619,0,0
MLLT1,ENSG00000130382.8,52.97714597,0.591527327,67.63395663,0.77758131
CTC-503J8.4,ENSG00000267563.1,0.026412418,0.0033519,0,0
CTC-503J8.8,ENSG00000280394.1,0.010859041,0.002110025,0,0
ACER1,ENSG00000167769.4,0.440004357,0.02751943,0.542264583,0.067730042
CTB-180A7.3,ENSG00000269802.1,0.115276035,0.00673717,0,0
CLPP,ENSG00000125656.8,66.78372549,0.760297929,43.40220956,0.602191254
ALKBH7,ENSG00000125652.7,60.50551198,0.960620968,106.418409,2.328687937
PSPN,ENSG00000125650.4,1.319238562,0.026687117,3.55087017,0.050184556
GTF2F1,ENSG00000125651.13,58.72570806,0.688208718,115.8511382,1.262669707
CTB-180A7.6,ENSG00000269444.1,0.140844444,0.007667483,0,0
MIR6885,ENSG00000274390.1,0.004488889,0.00237266,0.083619223,0.015256549
MIR6790,ENSG00000273758.1,0.020454031,0.005493724,0.017827083,0.004722958
CTB-180A7.8,ENSG00000214347.7,0.014319172,0.002096911,0,0
KHSRP,ENSG00000088247.17,72.83453159,0.978586399,130.5289756,1.610153475
MIR3940,ENSG00000284159.1,0.144141394,0.01962711,0.059183333,0.00777896
SLC25A41,ENSG00000181240.13,0.468606972,0.023661607,0.522604072,0.018816365
SLC25A23,ENSG00000125648.14,21.78504357,0.319252956,40.9592625,0.577823325
CRB3,ENSG00000130545.15,5.381927451,0.272218979,35.72802642,0.533964615
DENND1C,ENSG00000205744.9,4.350178214,0.125269046,14.80800795,0.250850823
CTD-2396E7.11,ENSG00000275234.1,6.080042048,0.299198388,0,0
TUBB4A,ENSG00000104833.11,0.665991068,0.032723204,0.964326042,0.119083968
TNFSF9,ENSG00000125657.4,1.684673856,0.086960491,2.596818845,0.116884359
CTD-2396E7.7,ENSG00000268742.1,0.004038998,8.21E-04,0,0
CLIC4P2,ENSG00000269546.1,0.010897821,0.001767591,0.019388542,0.011151785
Y_RNA,ENSG00000199223.1,0.00223878,0.001315729,0.306436174,0.081552032
CD70,ENSG00000125726.10,0.524550109,0.039239037,1.781734754,0.086337519
RPL7P50,ENSG00000268785.1,0.069645534,0.00462424,0.204575,0.008461002
TNFSF14,ENSG00000125735.10,3.705439869,0.253630027,1.427110985,0.052431467
C3,ENSG00000125730.16,434.1520915,14.43795159,232.0861814,6.936597419
CTD-3128G10.7,ENSG00000276980.1,4.380422222,0.589144152,0,0
GPR108,ENSG00000125734.15,61.31732026,0.831175572,71.06627907,0.750612118
MIR6791,ENSG00000283950.1,0.025733333,0.005676073,0,0
TRIP10,ENSG00000125733.17,135.7665795,1.726536811,32.32872244,0.473477693
CTD-3128G10.6,ENSG00000269680.1,7.435240305,0.216105829,0,0
SH2D3A,ENSG00000125731.12,16.6942305,0.750586485,10.7995589,0.187340693
VAV1,ENSG00000141968.7,4.722154031,0.128935901,10.36740341,0.253258169
ADGRE1,ENSG00000174837.14,0.251862527,0.013817882,1.263045833,0.045485285
CTC-312O10.3,ENSG00000280091.1,0.010902832,0.001417746,0,0
CTC-312O10.2,ENSG00000269385.1,0.005077778,0.001498011,0,0
Metazoa_SRP,ENSG00000276568.1,0.016359477,0.002672571,0.879588636,0.03444896
ADGRE4P,ENSG00000268758.7,1.270909368,0.067977574,0.425057576,0.017071174
RP11-1137G4.3,ENSG00000268845.1,0.054438562,0.006180153,0,0
RP11-1137G4.4,ENSG00000269761.1,0.038108715,0.01168834,0,0
RP11-1137G4.5,ENSG00000283679.1,0.029283007,0.005495488,0,0
CTB-25J19.1,ENSG00000196589.6,0.001787582,7.73E-04,0,0
MBD3L5,ENSG00000237247.6,4.98E-04,2.25E-04,0.000594508,0.000218753
MBD3L4,ENSG00000205718.9,9.00E-05,9.00E-05,0.00031733,0.000208946
MBD3L2,ENSG00000230522.5,3.66E-04,1.89E-04,0.00413892,0.001308511
MBD3L3,ENSG00000182315.9,2.36E-04,2.36E-04,0.004635038,0.000953906
ZNF557,ENSG00000130544.11,2.264325054,0.040383074,7.739334754,0.147199099
INSR,ENSG00000171105.13,25.70605447,0.442313969,42.6144608,0.907379961
CTB-133G6.1,ENSG00000263264.1,0.318001089,0.012304069,0,0
CTB-133G6.2,ENSG00000267852.1,0.697798257,0.029104821,0,0
ARHGEF18,ENSG00000104880.17,14.27814161,0.199108665,17.19407794,0.499688602
PEX11G,ENSG00000104883.7,7.482082789,0.170544193,14.31586629,0.799924958
C19orf45,ENSG00000198723.10,0.314071678,0.020665731,0,0
ZNF358,ENSG00000198816.6,90.81732026,1.057385263,56.87104375,1.316102865
MCOLN1,ENSG00000090674.15,36.79557734,0.518395488,19.85668153,0.369665451
PNPLA6,ENSG00000032444.15,27.48966667,0.38726724,25.94490114,0.578048082
CAMSAP3,ENSG00000076826.9,14.50078824,0.782594478,32.8872179,0.921165085
MIR6792,ENSG00000273657.1,0.009040959,0.003493839,0.034355777,0.006467986
XAB2,ENSG00000076924.11,68.28440087,1.10488582,52.19595549,1.325921139
PET100,ENSG00000229833.9,20.77164924,0.400655217,2.266730019,0.080792536
PCP2,ENSG00000174788.9,12.23385425,0.775304757,10.74508864,0.846761664
CTD-3214H19.6,ENSG00000268204.1,9.425107843,0.579473567,0,0
STXBP2,ENSG00000076944.15,31.09086928,1.136410644,24.51123134,0.569687945
RPS27AP19,ENSG00000269228.1,0.048510893,0.0045219,0.134612595,0.006600283
RETN,ENSG00000104918.7,1.799512418,0.14298298,1.179511269,0.100126112
MCEMP1,ENSG00000183019.7,0.94332244,0.056312182,0.553596023,0.049748951
TRAPPC5,ENSG00000181029.8,11.76803922,0.200065932,0.707767235,0.0240034
FCER2,ENSG00000104921.14,1.906823529,0.12016059,1.643378693,0.280339202
CLEC4G,ENSG00000182566.13,3.984067974,0.290797153,0.000667803,0.000146594
CD209,ENSG00000090659.17,7.907945098,0.387075614,2.032265909,0.094910762
RPL21P129,ENSG00000242636.1,0.083262309,0.005941164,0.060315246,0.003698517
